source,target,source_type,target_type,mu_forward,mu_backward,abs_diff,rel_diff,forward_dominant
ADL,AVK,unknown,interneuron,0.0005851898258161964,0.0005228425507581223,6.234727505807411e-05,0.056268454559050385,True
AIN,AFD,interneuron,sensory,7.025587815024098e-05,7.955534416428148e-06,6.230034373381284e-05,0.7965623178647354,True
URX,AUA,sensory,unknown,1.7285467324640357e-06,6.402679980040162e-05,6.229825306793758e-05,0.9474234660820058,False
LUA,ASE,interneuron,sensory,0.00016248969825083276,0.00022477062923201274,6.228093098117999e-05,0.1608244131371746,False
RIB,AIM,interneuron,interneuron,0.0006779117902738364,0.0007401739260930362,6.226213581919985e-05,0.04390576021606017,False
AIZ,IL2,interneuron,sensory,2.9629268984218055e-05,9.183972627620613e-05,6.221045729198807e-05,0.5121504952235932,False
PVR,RIA,unknown,interneuron,2.7950190177187507e-05,8.949793271546613e-05,6.154774253827862e-05,0.5240414969457016,False
SAB,AVB,motor,interneuron,0.0004190303446158057,0.0004805439442273252,6.151359961151947e-05,0.06838078137220768,False
AFD,AIN,sensory,interneuron,9.709629669260209e-05,3.56297957345812e-05,6.14665009580209e-05,0.4631075436880544,True
SIA,AFD,motor,sensory,6.455140967869062e-05,3.1621796100609075e-06,6.13892300686297e-05,0.9065999905402818,True
URB,AQR,sensory,unknown,3.2377324077042585e-05,9.366115722021498e-05,6.12838331431724e-05,0.4862307438913219,False
PVT,ADE,interneuron,sensory,9.303966121133593e-05,3.1966837981091444e-05,6.107282323024449e-05,0.4885567931996357,True
AIM,RIM,interneuron,interneuron,6.461839708124672e-05,0.0001256042606937125,6.0985863612465774e-05,0.3206023523463706,False
AIB,AVF,interneuron,interneuron,0.00030478966949000393,0.0002438138035971228,6.097586589288114e-05,0.1111474093210057,True
ALN,URY,sensory,sensory,1.8971610909857718e-06,6.285804100274494e-05,6.096087991175917e-05,0.9414036834160813,False
PHB,AFD,sensory,sensory,0.0002542854041835595,0.0003151907062834325,6.090530209987299e-05,0.10694968636166266,False
ASJ,RID,sensory,interneuron,0.0002015640824521954,0.0001407566244910147,6.080745796118071e-05,0.17763295928216385,True
ASG,AVD,sensory,interneuron,0.0004979463638299518,0.0004371809697119685,6.076539411798332e-05,0.06498086992039817,True
ADF,ASI,sensory,sensory,0.00018505922315925397,0.0002456262439255849,6.0567020766330934e-05,0.14062932541781717,False
CEP,SAB,sensory,motor,6.626195739843486e-05,5.696610692766178e-06,6.056534670566868e-05,0.8416685343440159,True
RMD,AIN,motor,interneuron,7.438753680161549e-05,0.00013492930605816725,6.054176925655176e-05,0.28923492016175434,False
PVT,RIM,interneuron,interneuron,0.0022934228179604943,0.0023539611273471167,6.0538309386622396e-05,0.013026319494242563,False
